query,title,docid,link,rel
What is the role of college academic advisors and career counselors,Ralph Northam,14126466,https://en.wikipedia.org/wiki/?curid=14126466,1
What is the role of college academic advisors and career counselors,Peter Navarro,9736746,https://en.wikipedia.org/wiki/?curid=9736746,1
What is the role of college academic advisors and career counselors,Brotherhood of War,7142802,https://en.wikipedia.org/wiki/?curid=7142802,1
What is the role of college academic advisors and career counselors,Israel lobby in the United States,6710883,https://en.wikipedia.org/wiki/?curid=6710883,1
What is the role of college academic advisors and career counselors,Hudson Catholic Regional High School,6243990,https://en.wikipedia.org/wiki/?curid=6243990,1
What is the role of college academic advisors and career counselors,Fethullah G�len,7517723,https://en.wikipedia.org/wiki/?curid=7517723,1
What are the ongoing developments in the China-Taiwan relationship,China�United States trade war,57055272,https://en.wikipedia.org/wiki/?curid=57055272,4
What are the ongoing developments in the China-Taiwan relationship,American decline,60367585,https://en.wikipedia.org/wiki/?curid=60367585,1
What are the ongoing developments in the China-Taiwan relationship,Fake news,52881503,https://en.wikipedia.org/wiki/?curid=52881503,1
What are the ongoing developments in the China-Taiwan relationship,2023 Singaporean presidential election,55403054,https://en.wikipedia.org/wiki/?curid=55403054,1
What are the ongoing developments in the China-Taiwan relationship,2019-2020 Hong Kong protests,61008894,https://en.wikipedia.org/wiki/?curid=61008894,1
What are the ongoing developments in the China-Taiwan relationship,Jho Low,59568263,https://en.wikipedia.org/wiki/?curid=59568263,1
What are the ongoing developments in the China-Taiwan relationship,Guangdong�Hong Kong�Macao Greater Bay Area,58572338,https://en.wikipedia.org/wiki/?curid=58572338,1
What are the ongoing developments in the China-Taiwan relationship,Debt-trap diplomacy,58492626,https://en.wikipedia.org/wiki/?curid=58492626,1
What are the ongoing developments in the China-Taiwan relationship,Panama Papers,50034356,https://en.wikipedia.org/wiki/?curid=50034356,1
What are the ongoing developments in the China-Taiwan relationship,History of Indian foreign relations,60210379,https://en.wikipedia.org/wiki/?curid=60210379,1
What are the ongoing developments in the China-Taiwan relationship,Hudson Yards (development),57778944,https://en.wikipedia.org/wiki/?curid=57778944,1
What are the ongoing developments in the China-Taiwan relationship,Foreign policy of the Donald Trump administration,53548141,https://en.wikipedia.org/wiki/?curid=53548141,2
What are the ongoing developments in the China-Taiwan relationship,Concerns and controversies at the 2020 Summer Olympics,54503723,https://en.wikipedia.org/wiki/?curid=54503723,5
What are the ongoing developments in the China-Taiwan relationship,Crash Landing on You,61308055,https://en.wikipedia.org/wiki/?curid=61308055,1
What are the ongoing developments in the China-Taiwan relationship,Generation Z in the United States,58203815,https://en.wikipedia.org/wiki/?curid=58203815,1
What are the ongoing developments in the China-Taiwan relationship,Foreign policy of the Jimmy Carter administration,61255225,https://en.wikipedia.org/wiki/?curid=61255225,2
What are the ongoing developments in the China-Taiwan relationship,Philippine drug war,51032591,https://en.wikipedia.org/wiki/?curid=51032591,3
What are the ongoing developments in the China-Taiwan relationship,Tether (cryptocurrency),55977923,https://en.wikipedia.org/wiki/?curid=55977923,1
What are the ongoing developments in the China-Taiwan relationship,Burning Sun scandal,60280764,https://en.wikipedia.org/wiki/?curid=60280764,1
What are the ongoing developments in the China-Taiwan relationship,Responses to the Venezuelan presidential crisis,60076177,https://en.wikipedia.org/wiki/?curid=60076177,1
What are the ongoing developments in the China-Taiwan relationship,TikTok,56822861,https://en.wikipedia.org/wiki/?curid=56822861,1
What are the ongoing developments in the China-Taiwan relationship,2020 in the United States,60177541,https://en.wikipedia.org/wiki/?curid=60177541,1
What are the ongoing developments in the China-Taiwan relationship,The Life-Sized City,60093707,https://en.wikipedia.org/wiki/?curid=60093707,1
What are the ongoing developments in the China-Taiwan relationship,European Union�Turkey relations,49866785,https://en.wikipedia.org/wiki/?curid=49866785,1
What are the ongoing developments in the China-Taiwan relationship,Taiwan,25734,https://en.wikipedia.org/wiki/?curid=25734,5
What are the ongoing developments in the China-Taiwan relationship,Republic of China Armed Forces,30095,https://en.wikipedia.org/wiki/?curid=30095,5
What are the ongoing developments in the China-Taiwan relationship,China,5405,https://en.wikipedia.org/wiki/?curid=5405,5
What are the ongoing developments in the China-Taiwan relationship,Ethnic minorities in China,152831,https://en.wikipedia.org/wiki/?curid=152831,5
What are the ongoing developments in the China-Taiwan relationship,Taiwanese indigenous peoples,53787,https://en.wikipedia.org/wiki/?curid=53787,4
What are the ongoing developments in the China-Taiwan relationship,Chinese language,5751,https://en.wikipedia.org/wiki/?curid=5751,3
What are the ongoing developments in the China-Taiwan relationship,Taiwanese Hokkien,58791,https://en.wikipedia.org/wiki/?curid=58791,3
What are the ongoing developments in the China-Taiwan relationship,Music of China,247756,https://en.wikipedia.org/wiki/?curid=247756,2
What are the ongoing developments in the China-Taiwan relationship,Chinese nationalism,153223,https://en.wikipedia.org/wiki/?curid=153223,5
What are the ongoing developments in the China-Taiwan relationship,Chiang Ching-kuo,61157,https://en.wikipedia.org/wiki/?curid=61157,3
What are the ongoing developments in the China-Taiwan relationship,Second Sino-Japanese War,69980,https://en.wikipedia.org/wiki/?curid=69980,2
What are the ongoing developments in the China-Taiwan relationship,ASEAN,106539,https://en.wikipedia.org/wiki/?curid=106539,4
What are the ongoing developments in the China-Taiwan relationship,Joe Biden,145422,https://en.wikipedia.org/wiki/?curid=145422,3
What are the ongoing developments in the China-Taiwan relationship,People's Liberation Army Navy,24918,https://en.wikipedia.org/wiki/?curid=24918,4
What are the ongoing developments in the China-Taiwan relationship,Asia,689,https://en.wikipedia.org/wiki/?curid=689,3
What are the ongoing developments in the China-Taiwan relationship,Zhou Enlai,50444,https://en.wikipedia.org/wiki/?curid=50444,2
What are the ongoing developments in the China-Taiwan relationship,Sun Yat-sen,88483,https://en.wikipedia.org/wiki/?curid=88483,3
What are the ongoing developments in the China-Taiwan relationship,Austronesian languages,58800,https://en.wikipedia.org/wiki/?curid=58800,2
What are the ongoing developments in the China-Taiwan relationship,Developing country,78449,https://en.wikipedia.org/wiki/?curid=78449,1
What are the ongoing developments in the China-Taiwan relationship,South Korea,27019,https://en.wikipedia.org/wiki/?curid=27019,1
What are the ongoing developments in the China-Taiwan relationship,Japan,15573,https://en.wikipedia.org/wiki/?curid=15573,1
What are the ongoing developments in the China-Taiwan relationship,Ryukyuan people,166271,https://en.wikipedia.org/wiki/?curid=166271,2
What are the ongoing developments in the China-Taiwan relationship,Korean War,16772,https://en.wikipedia.org/wiki/?curid=16772,2
What are the ongoing developments in the China-Taiwan relationship,1989 Tiananmen Square protests and massacre,44534,https://en.wikipedia.org/wiki/?curid=44534,1
What are the ongoing developments in the China-Taiwan relationship,Pakistan,23235,https://en.wikipedia.org/wiki/?curid=23235,1
What are the ongoing developments in the China-Taiwan relationship,Hmong people,58294,https://en.wikipedia.org/wiki/?curid=58294,1
What are the ongoing developments in the China-Taiwan relationship,History of the Philippines,23441,https://en.wikipedia.org/wiki/?curid=23441,1
What are the impacts of smartphone gaming on mental health and addiction,Digital media use and mental health,59602196,https://en.wikipedia.org/wiki/?curid=59602196,5
What are the impacts of smartphone gaming on mental health and addiction,Criticism of Netflix,50276542,https://en.wikipedia.org/wiki/?curid=50276542,3
What are the impacts of smartphone gaming on mental health and addiction,Generation Z in the United States,58203815,https://en.wikipedia.org/wiki/?curid=58203815,3
What are the impacts of smartphone gaming on mental health and addiction,Sealioning,53339930,https://en.wikipedia.org/wiki/?curid=53339930,1
What are the impacts of smartphone gaming on mental health and addiction,Smartphone,167079,https://en.wikipedia.org/wiki/?curid=167079,3
What are the impacts of smartphone gaming on mental health and addiction,Video game,5363,https://en.wikipedia.org/wiki/?curid=5363,4
What are the impacts of smartphone gaming on mental health and addiction,Major depressive disorder,8389,https://en.wikipedia.org/wiki/?curid=8389,1
What are the impacts of smartphone gaming on mental health and addiction,Cognitive psychology,5961,https://en.wikipedia.org/wiki/?curid=5961,1
What are the impacts of smartphone gaming on mental health and addiction,Online dating,169553,https://en.wikipedia.org/wiki/?curid=169553,3
What are the impacts of smartphone gaming on mental health and addiction,Evolutionary psychology,9703,https://en.wikipedia.org/wiki/?curid=9703,2
What are the impacts of smartphone gaming on mental health and addiction,Social psychology,26990,https://en.wikipedia.org/wiki/?curid=26990,1
What are the impacts of smartphone gaming on mental health and addiction,Internet,14539,https://en.wikipedia.org/wiki/?curid=14539,3
What are the impacts of smartphone gaming on mental health and addiction,Sting (musician),83312,https://en.wikipedia.org/wiki/?curid=83312,2
What are the impacts of smartphone gaming on mental health and addiction,Lithium,17561,https://en.wikipedia.org/wiki/?curid=17561,1
What are the impacts of smartphone gaming on mental health and addiction,Ayumi Hamasaki,173061,https://en.wikipedia.org/wiki/?curid=173061,1
What are the impacts of smartphone gaming on mental health and addiction,Problematic smartphone use,37829036,https://en.wikipedia.org/wiki/?curid=37829036,5
What are the impacts of smartphone gaming on mental health and addiction,Fear of missing out,39733154,https://en.wikipedia.org/wiki/?curid=39733154,3
What are the impacts of smartphone gaming on mental health and addiction,Digital detox,43348955,https://en.wikipedia.org/wiki/?curid=43348955,2
What are the impacts of smartphone gaming on mental health and addiction,Binge-watching,40475635,https://en.wikipedia.org/wiki/?curid=40475635,1
What are the impacts of smartphone gaming on mental health and addiction,Violence and video games,40357187,https://en.wikipedia.org/wiki/?curid=40357187,2
What are the impacts of smartphone gaming on mental health and addiction,Clickbait,41271012,https://en.wikipedia.org/wiki/?curid=41271012,1
What are the impacts of smartphone gaming on mental health and addiction,Phubbing,40297992,https://en.wikipedia.org/wiki/?curid=40297992,1
What are the impacts of smartphone gaming on mental health and addiction,Video game monetization,48449792,https://en.wikipedia.org/wiki/?curid=48449792,2
What are the impacts of smartphone gaming on mental health and addiction,Love Island (2015 TV series),46834950,https://en.wikipedia.org/wiki/?curid=46834950,1
What are the impacts of smartphone gaming on mental health and addiction,Neuroenhancement,40568034,https://en.wikipedia.org/wiki/?curid=40568034,3
What are the impacts of smartphone gaming on mental health and addiction,Problematic social media use,31883534,https://en.wikipedia.org/wiki/?curid=31883534,4
What are the impacts of smartphone gaming on mental health and addiction,Screen time,36807596,https://en.wikipedia.org/wiki/?curid=36807596,5
What are the impacts of smartphone gaming on mental health and addiction,Instagram,31591547,https://en.wikipedia.org/wiki/?curid=31591547,3
What are the impacts of smartphone gaming on mental health and addiction,Psychological effects of Internet use,27942343,https://en.wikipedia.org/wiki/?curid=27942343,2
What are the impacts of smartphone gaming on mental health and addiction,Cyberbullying,32492747,https://en.wikipedia.org/wiki/?curid=32492747,4
What are the impacts of smartphone gaming on mental health and addiction,Avicii,29331348,https://en.wikipedia.org/wiki/?curid=29331348,1
What are the impacts of smartphone gaming on mental health and addiction,Filter bubble,31657187,https://en.wikipedia.org/wiki/?curid=31657187,1
What are the impacts of smartphone gaming on mental health and addiction,Autism spectrum,29113700,https://en.wikipedia.org/wiki/?curid=29113700,1
What are the impacts of smartphone gaming on mental health and addiction,Gamification,29089099,https://en.wikipedia.org/wiki/?curid=29089099,3
What are the impacts of smartphone gaming on mental health and addiction,Social media and suicide,27912530,https://en.wikipedia.org/wiki/?curid=27912530,2
What are the impacts of smartphone gaming on mental health and addiction,Betteridge's law of headlines,28050108,https://en.wikipedia.org/wiki/?curid=28050108,1
What are the impacts of smartphone gaming on mental health and addiction,Human factors and ergonomics,36479878,https://en.wikipedia.org/wiki/?curid=36479878,1
What are the impacts of smartphone gaming on mental health and addiction,Black Mirror,33757091,https://en.wikipedia.org/wiki/?curid=33757091,1
What are the impacts of smartphone gaming on mental health and addiction,Anorexia nervosa,26534334,https://en.wikipedia.org/wiki/?curid=26534334,1
What are the impacts of smartphone gaming on mental health and addiction,Justin Bieber,23680998,https://en.wikipedia.org/wiki/?curid=23680998,1
What are the impacts of smartphone gaming on mental health and addiction,Human-computer interaction,23534602,https://en.wikipedia.org/wiki/?curid=23534602,1
What are the impacts of smartphone gaming on mental health and addiction,Conformity,20757984,https://en.wikipedia.org/wiki/?curid=20757984,1
What are the impacts of smartphone gaming on mental health and addiction,Information�action ratio,20236074,https://en.wikipedia.org/wiki/?curid=20236074,1
What are the impacts of smartphone gaming on mental health and addiction,Internet addiction disorder,15734720,https://en.wikipedia.org/wiki/?curid=15734720,4
What are the impacts of smartphone gaming on mental health and addiction,Social impact of YouTube,15806414,https://en.wikipedia.org/wiki/?curid=15806414,3
What are the impacts of smartphone gaming on mental health and addiction,Criticism of Facebook,12878216,https://en.wikipedia.org/wiki/?curid=12878216,3
What are the impacts of smartphone gaming on mental health and addiction,Echo chamber (media),16143262,https://en.wikipedia.org/wiki/?curid=16143262,2
What are the impacts of smartphone gaming on mental health and addiction,Credit card,17182301,https://en.wikipedia.org/wiki/?curid=17182301,1
What are the impacts of smartphone gaming on mental health and addiction,Social media,5897742,https://en.wikipedia.org/wiki/?curid=5897742,2
What are the impacts of smartphone gaming on mental health and addiction,Evolutionary mismatch,10560587,https://en.wikipedia.org/wiki/?curid=10560587,1
What are the impacts of smartphone gaming on mental health and addiction,Facebook,7529378,https://en.wikipedia.org/wiki/?curid=7529378,2
What is the status of international efforts to combat terrorism and extremism,Wagner Group,54750187,https://en.wikipedia.org/wiki/?curid=54750187,1
What is the status of international efforts to combat terrorism and extremism,Philippine drug war,51032591,https://en.wikipedia.org/wiki/?curid=51032591,1
What is the status of international efforts to combat terrorism and extremism,Anti-gay purges in Chechnya,53770625,https://en.wikipedia.org/wiki/?curid=53770625,1
What is the status of international efforts to combat terrorism and extremism,The Falcon and the Winter Soldier,59082256,https://en.wikipedia.org/wiki/?curid=59082256,1
What is the status of international efforts to combat terrorism and extremism,Holocaust denial,65651,https://en.wikipedia.org/wiki/?curid=65651,1
What is the status of international efforts to combat terrorism and extremism,Muslim Brotherhood,20742,https://en.wikipedia.org/wiki/?curid=20742,1
What is the status of international efforts to combat terrorism and extremism,Nursultan Nazarbayev,57610,https://en.wikipedia.org/wiki/?curid=57610,1
What is the status of international efforts to combat terrorism and extremism,Hindutva,96920,https://en.wikipedia.org/wiki/?curid=96920,1
What is the status of international efforts to combat terrorism and extremism,Ulster Volunteer Force,80710,https://en.wikipedia.org/wiki/?curid=80710,1
What is the status of international efforts to combat terrorism and extremism,Gang,80408,https://en.wikipedia.org/wiki/?curid=80408,1
What is the status of international efforts to combat terrorism and extremism,Satanism,27706,https://en.wikipedia.org/wiki/?curid=27706,1
What is the status of international efforts to combat terrorism and extremism,Stephen Harper,241547,https://en.wikipedia.org/wiki/?curid=241547,1
What is the status of international efforts to combat terrorism and extremism,Slavery,27992,https://en.wikipedia.org/wiki/?curid=27992,1
What is the status of international efforts to combat terrorism and extremism,Tajikistan,30108,https://en.wikipedia.org/wiki/?curid=30108,1
What is the status of international efforts to combat terrorism and extremism,Subhas Chandra Bose,204281,https://en.wikipedia.org/wiki/?curid=204281,1
What is the status of international efforts to combat terrorism and extremism,Militia,20622,https://en.wikipedia.org/wiki/?curid=20622,1
What is the status of international efforts to combat terrorism and extremism,Sufism,28246,https://en.wikipedia.org/wiki/?curid=28246,1
What is the status of international efforts to combat terrorism and extremism,Christian Identity,190348,https://en.wikipedia.org/wiki/?curid=190348,1
What is the status of international efforts to combat terrorism and extremism,Animal testing,175596,https://en.wikipedia.org/wiki/?curid=175596,1
What is the status of international efforts to combat terrorism and extremism,Combat 18,47757941,https://en.wikipedia.org/wiki/?curid=47757941,1
What is the status of international efforts to combat terrorism and extremism,Accelerationism,41330767,https://en.wikipedia.org/wiki/?curid=41330767,1
What is the status of international efforts to combat terrorism and extremism,Russian people's militias in Ukraine,42487489,https://en.wikipedia.org/wiki/?curid=42487489,1
What is the status of international efforts to combat terrorism and extremism,Mark Milley,38091005,https://en.wikipedia.org/wiki/?curid=38091005,1
What is the status of international efforts to combat terrorism and extremism,Rishi Sunak,46622934,https://en.wikipedia.org/wiki/?curid=46622934,1
What is the status of international efforts to combat terrorism and extremism,Anti-Sunnism,43733950,https://en.wikipedia.org/wiki/?curid=43733950,1
What is the status of international efforts to combat terrorism and extremism,"Boycott, Divestment and Sanctions",38667928,https://en.wikipedia.org/wiki/?curid=38667928,1
What is the status of international efforts to combat terrorism and extremism,Identitarian movement,40853628,https://en.wikipedia.org/wiki/?curid=40853628,1
What is the status of international efforts to combat terrorism and extremism,Religious violence in Nigeria,43330495,https://en.wikipedia.org/wiki/?curid=43330495,1
What is the status of international efforts to combat terrorism and extremism,Right Sector,41829771,https://en.wikipedia.org/wiki/?curid=41829771,1
What is the status of international efforts to combat terrorism and extremism,People's Defense Units,36497032,https://en.wikipedia.org/wiki/?curid=36497032,1
What is the status of international efforts to combat terrorism and extremism,Sajid Javid,27286521,https://en.wikipedia.org/wiki/?curid=27286521,1
What is the status of international efforts to combat terrorism and extremism,Rwandan Revolution,27660506,https://en.wikipedia.org/wiki/?curid=27660506,1
What is the status of international efforts to combat terrorism and extremism,Sectarianism and minorities in the Syrian civil war,34766543,https://en.wikipedia.org/wiki/?curid=34766543,1
What is the status of international efforts to combat terrorism and extremism,21st century,18938115,https://en.wikipedia.org/wiki/?curid=18938115,1
What is the status of international efforts to combat terrorism and extremism,South Asia,21566765,https://en.wikipedia.org/wiki/?curid=21566765,1
What is the status of international efforts to combat terrorism and extremism,Tumblr,18701436,https://en.wikipedia.org/wiki/?curid=18701436,1
What is the status of international efforts to combat terrorism and extremism,National Guard of Russia,50090211,https://en.wikipedia.org/wiki/?curid=50090211,2
What is the status of international efforts to combat terrorism and extremism,Alt-right,49273972,https://en.wikipedia.org/wiki/?curid=49273972,2
What is the status of international efforts to combat terrorism and extremism,History of the United States (2008�present),52916015,https://en.wikipedia.org/wiki/?curid=52916015,2
What is the status of international efforts to combat terrorism and extremism,Hurras al-Din,56718004,https://en.wikipedia.org/wiki/?curid=56718004,2
What is the status of international efforts to combat terrorism and extremism,Iran�Saudi Arabia proxy conflict,48998216,https://en.wikipedia.org/wiki/?curid=48998216,2
What is the status of international efforts to combat terrorism and extremism,Trumpism,49622755,https://en.wikipedia.org/wiki/?curid=49622755,2
What is the status of international efforts to combat terrorism and extremism,Operation Olive Branch,56350318,https://en.wikipedia.org/wiki/?curid=56350318,2
What is the status of international efforts to combat terrorism and extremism,Soviet�Afghan War,80197,https://en.wikipedia.org/wiki/?curid=80197,2
What is the status of international efforts to combat terrorism and extremism,Sharia,28840,https://en.wikipedia.org/wiki/?curid=28840,2
What is the status of international efforts to combat terrorism and extremism,Police,23627,https://en.wikipedia.org/wiki/?curid=23627,2
What is the status of international efforts to combat terrorism and extremism,Muslim world,191429,https://en.wikipedia.org/wiki/?curid=191429,2
What is the status of international efforts to combat terrorism and extremism,Uyghurs,31783,https://en.wikipedia.org/wiki/?curid=31783,2
What is the status of international efforts to combat terrorism and extremism,2010s,36397,https://en.wikipedia.org/wiki/?curid=36397,2
What is the status of international efforts to combat terrorism and extremism,Azov Brigade,42872666,https://en.wikipedia.org/wiki/?curid=42872666,2
What is the status of international efforts to combat terrorism and extremism,Joshua Ryne Goldberg,47802257,https://en.wikipedia.org/wiki/?curid=47802257,2
What is the status of international efforts to combat terrorism and extremism,Donetsk People's Republic,42425747,https://en.wikipedia.org/wiki/?curid=42425747,2
What is the status of international efforts to combat terrorism and extremism,Rebel News,45633927,https://en.wikipedia.org/wiki/?curid=45633927,2
What is the status of international efforts to combat terrorism and extremism,Belligerents in the Syrian civil war,39969011,https://en.wikipedia.org/wiki/?curid=39969011,2
What is the status of international efforts to combat terrorism and extremism,Boko Haram insurgency,27868253,https://en.wikipedia.org/wiki/?curid=27868253,2
What is the status of international efforts to combat terrorism and extremism,Al-Nusra Front,34929376,https://en.wikipedia.org/wiki/?curid=34929376,2
What is the status of international efforts to combat terrorism and extremism,Autonomous Administration of North and East Syria,36991518,https://en.wikipedia.org/wiki/?curid=36991518,2
What is the status of international efforts to combat terrorism and extremism,African American�Jewish relations,28097533,https://en.wikipedia.org/wiki/?curid=28097533,2
What is the status of international efforts to combat terrorism and extremism,Operation Sinai (2012),37032207,https://en.wikipedia.org/wiki/?curid=37032207,2
What is the status of international efforts to combat terrorism and extremism,Use of social media by the Islamic State,55178730,https://en.wikipedia.org/wiki/?curid=55178730,3
What is the status of international efforts to combat terrorism and extremism,Atomwaffen Division,54703522,https://en.wikipedia.org/wiki/?curid=54703522,3
What is the status of international efforts to combat terrorism and extremism,Gab (social network),51695563,https://en.wikipedia.org/wiki/?curid=51695563,3
What is the status of international efforts to combat terrorism and extremism,Fake news,52881503,https://en.wikipedia.org/wiki/?curid=52881503,3
What is the status of international efforts to combat terrorism and extremism,Tahrir al-Sham,53015755,https://en.wikipedia.org/wiki/?curid=53015755,3
What is the status of international efforts to combat terrorism and extremism,Identity Evropa,53797320,https://en.wikipedia.org/wiki/?curid=53797320,3
What is the status of international efforts to combat terrorism and extremism,Antisemitism in the UK Conservative Party,59849869,https://en.wikipedia.org/wiki/?curid=59849869,3
What is the status of international efforts to combat terrorism and extremism,Jihad,16203,https://en.wikipedia.org/wiki/?curid=16203,3
What is the status of international efforts to combat terrorism and extremism,Neo-fascism,48755,https://en.wikipedia.org/wiki/?curid=48755,3
What is the status of international efforts to combat terrorism and extremism,Kurdistan Workers' Party,69680,https://en.wikipedia.org/wiki/?curid=69680,3
What is the status of international efforts to combat terrorism and extremism,ETA (separatist group),9926,https://en.wikipedia.org/wiki/?curid=9926,3
What is the status of international efforts to combat terrorism and extremism,Proud Boys,47602174,https://en.wikipedia.org/wiki/?curid=47602174,3
What is the status of international efforts to combat terrorism and extremism,Trojan Horse scandal,42482722,https://en.wikipedia.org/wiki/?curid=42482722,3
What is the status of international efforts to combat terrorism and extremism,War against the Islamic State,43517689,https://en.wikipedia.org/wiki/?curid=43517689,3
What is the status of international efforts to combat terrorism and extremism,Web blocking in the United Kingdom,42421206,https://en.wikipedia.org/wiki/?curid=42421206,3
What is the status of international efforts to combat terrorism and extremism,2015�2016 wave of violence in the Israeli�Palestinian conflict,48140837,https://en.wikipedia.org/wiki/?curid=48140837,3
What is the status of international efforts to combat terrorism and extremism,Anti-Defamation League,27243620,https://en.wikipedia.org/wiki/?curid=27243620,3
What is the status of international efforts to combat terrorism and extremism,Abu Bakr al-Baghdadi,33348100,https://en.wikipedia.org/wiki/?curid=33348100,3
What is the status of international efforts to combat terrorism and extremism,Anders Behring Breivik,32501324,https://en.wikipedia.org/wiki/?curid=32501324,3
What is the status of international efforts to combat terrorism and extremism,Amnesty International,18947898,https://en.wikipedia.org/wiki/?curid=18947898,3
What is the status of international efforts to combat terrorism and extremism,4chan,12561015,https://en.wikipedia.org/wiki/?curid=12561015,3
What is the status of international efforts to combat terrorism and extremism,East African drug trade,60604661,https://en.wikipedia.org/wiki/?curid=60604661,4
What is the status of international efforts to combat terrorism and extremism,Unite the Right rally,54794956,https://en.wikipedia.org/wiki/?curid=54794956,4
What is the status of international efforts to combat terrorism and extremism,Political positions of Tulsi Gabbard,60231256,https://en.wikipedia.org/wiki/?curid=60231256,4
